Price,Close,High,Low,Open,Volume
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F
Datetime,,,,,
2025-12-17 15:00:00+00:00,4361.60009765625,4383.60009765625,4350.0,4369.0,0
2025-12-17 16:00:00+00:00,4365.2001953125,4370.0,4332.7001953125,4361.7001953125,19099
2025-12-17 17:00:00+00:00,4373.39990234375,4373.60009765625,4338.0,4365.10009765625,10222
2025-12-17 18:00:00+00:00,4367.7001953125,4378.5,4360.7001953125,4373.60009765625,14384
2025-12-17 19:00:00+00:00,4369.2998046875,4373.5,4362.39990234375,4367.60009765625,5780
2025-12-17 20:00:00+00:00,4373.39990234375,4379.0,4367.2998046875,4369.2998046875,5901
2025-12-17 21:00:00+00:00,4371.39990234375,4379.39990234375,4370.60009765625,4373.2998046875,0
2025-12-17 23:00:00+00:00,4371.0,4374.5,4366.89990234375,4371.5,2141
2025-12-18 00:00:00+00:00,4366.89990234375,4375.10009765625,4365.39990234375,4371.0,2791
2025-12-18 01:00:00+00:00,4363.2001953125,4369.2998046875,4355.2001953125,4366.89990234375,5745
2025-12-18 02:00:00+00:00,4364.7001953125,4369.5,4361.10009765625,4363.5,4399
2025-12-18 03:00:00+00:00,4363.39990234375,4368.0,4361.39990234375,4364.2998046875,2130
2025-12-18 04:00:00+00:00,4362.0,4364.0,4358.5,4363.60009765625,1988
2025-12-18 05:00:00+00:00,4363.2001953125,4367.89990234375,4360.7001953125,4361.60009765625,2775
2025-12-18 06:00:00+00:00,4364.39990234375,4366.7001953125,4360.89990234375,4363.2998046875,2291
2025-12-18 07:00:00+00:00,4362.60009765625,4368.7001953125,4360.0,4364.0,3813
2025-12-18 08:00:00+00:00,4357.39990234375,4363.7001953125,4352.2998046875,4362.5,5737
2025-12-18 09:00:00+00:00,4353.89990234375,4359.39990234375,4351.0,4357.10009765625,5481
2025-12-18 10:00:00+00:00,4357.2998046875,4359.2998046875,4353.0,4353.89990234375,4890
2025-12-18 11:00:00+00:00,4357.60009765625,4360.89990234375,4356.60009765625,4357.39990234375,4074
2025-12-18 12:00:00+00:00,4352.89990234375,4358.7998046875,4348.60009765625,4357.60009765625,5556
2025-12-18 13:00:00+00:00,4368.5,4375.7001953125,4346.60009765625,4352.7001953125,20449
2025-12-18 14:00:00+00:00,4360.2001953125,4373.7998046875,4338.0,4368.39990234375,31726
2025-12-18 15:00:00+00:00,4370.2001953125,4373.89990234375,4356.7001953125,4360.0,21455
2025-12-18 16:00:00+00:00,4394.60009765625,4409.5,4369.60009765625,4370.0,43425
2025-12-18 17:00:00+00:00,4365.10009765625,4397.7001953125,4352.60009765625,4394.60009765625,35718
2025-12-18 18:00:00+00:00,4363.5,4373.7998046875,4357.60009765625,4365.39990234375,10707
2025-12-18 19:00:00+00:00,4357.2001953125,4367.2998046875,4354.60009765625,4363.39990234375,4950
2025-12-18 20:00:00+00:00,4365.89990234375,4370.39990234375,4356.7998046875,4357.7998046875,4634
2025-12-18 21:00:00+00:00,4363.89990234375,4365.7998046875,4359.89990234375,4365.7001953125,1730
2025-12-18 23:00:00+00:00,4366.5,4368.39990234375,4363.0,4363.60009765625,0
2025-12-19 00:00:00+00:00,4356.10009765625,4367.2001953125,4355.5,4366.7001953125,2699
2025-12-19 01:00:00+00:00,4350.5,4357.39990234375,4336.2998046875,4356.2001953125,10454
2025-12-19 02:00:00+00:00,4344.2001953125,4355.2998046875,4340.60009765625,4350.7998046875,4276
2025-12-19 03:00:00+00:00,4345.7998046875,4350.60009765625,4339.89990234375,4344.0,4171
2025-12-19 04:00:00+00:00,4350.7998046875,4351.0,4344.2998046875,4346.0,1627
2025-12-19 05:00:00+00:00,4354.60009765625,4357.39990234375,4344.89990234375,4350.89990234375,2827
2025-12-19 06:00:00+00:00,4355.10009765625,4358.0,4349.7001953125,4354.39990234375,2585
2025-12-19 07:00:00+00:00,4350.39990234375,4357.0,4349.2998046875,4355.0,3719
2025-12-19 08:00:00+00:00,4355.0,4359.7001953125,4349.2001953125,4350.5,3917
2025-12-19 09:00:00+00:00,4358.60009765625,4362.39990234375,4352.7998046875,4354.60009765625,3438
2025-12-19 10:00:00+00:00,4358.0,4360.89990234375,4351.2001953125,4358.39990234375,4695
